Gene stable ID,Transcript stable ID,Transcript start (bp),Transcript end (bp),Gene name,Transcript count,Gene type,Gene description,Strand
YCR024C-A,YCR024C-A_mRNA,162945,163067,PMP1,1,protein_coding,"Regulatory subunit for the plasma membrane H(+)-ATPase Pma1p; small single-membrane span proteolipid; forms unique helix and positively charged cytoplasmic domain that is able to specifically segregate phosphatidylserines; PMP1 has a paralog, PMP2, that arose from the whole genome duplication [Source:SGD;Acc:S000000619]",-1
YOR027W,YOR027W_mRNA,381053,382822,STI1,1,protein_coding,"Hsp90 cochaperone; regulates spatial organization of amyloid-like proteins in the cytosol, thereby buffering the proteotoxicity caused by amyloid-like proteins; interacts with the Ssa group of the cytosolic Hsp70 chaperones and activates Ssa1p ATPase activity; interacts with Hsp90 chaperones and inhibits their ATPase activity; homolog of mammalian Hop [Source:SGD;Acc:S000005553]",1
YBL101C,YBL101C_mRNA,24946,28299,ECM21,1,protein_coding,"Protein involved in regulating endocytosis of plasma membrane proteins; identified as a substrate for ubiquitination by Rsp5p and deubiquitination by Ubp2p; promoter contains several Gcn4p binding elements; ECM21 has a paralog, CSR2, that arose from the whole genome duplication [Source:SGD;Acc:S000000197]",-1
YLL040C,YLL040C_mRNA,54211,63645,VPS13,1,protein_coding,"Protein involved in prospore membrane morphogenesis; peripheral membrane protein that localizes to the prospore membrane and at numerous membrane contact sites; involved in sporulation, vacuolar protein sorting, prospore membrane formation during sporulation, and protein-Golgi retention; required for mitochondrial integrity; contains a PH-like domain; homologous to human CHAC and COH1 which are involved in Chorea-acanthocytosis and Cohen syndrome, respectively [Source:SGD;Acc:S000003963]",-1
YDR181C,YDR181C_mRNA,825910,827355,SAS4,1,protein_coding,"Subunit of the SAS complex (Sas2p, Sas4p, Sas5p); acetylates free histones and nucleosomes and regulates transcriptional silencing; required for the HAT activity of Sas2p [Source:SGD;Acc:S000002589]",-1
YML116W-A,YML116W-A_mRNA,37472,37774,,1,protein_coding,Putative protein of unknown function [Source:SGD;Acc:S000004586],1
tG(UCC)O,tG(UCC)O_tRNA,110962,111033,SUF1,1,tRNA,"Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis; can mutate to suppress +1 frameshift mutations in glycine codons [Source:SGD;Acc:S000006592]",-1
YJL210W,YJL210W_mRNA,36919,37734,PEX2,1,protein_coding,"RING-finger peroxin and E3 ubiquitin ligase; peroxisomal membrane protein with a C-terminal zinc-binding RING domain, forms translocation subcomplex with Pex10p and Pex12p which functions in peroxisomal matrix protein import [Source:SGD;Acc:S000003746]",1
YLR216C,YLR216C_mRNA,572096,573211,CPR6,1,protein_coding,Peptidyl-prolyl cis-trans isomerase (cyclophilin); catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; plays a role in determining prion variants; binds to Hsp82p and contributes to chaperone activity; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000004206],-1
YMR021C,YMR021C_mRNA,317165,318418,MAC1,1,protein_coding,Copper-sensing transcription factor; involved in regulation of genes required for high affinity copper transport; required for regulation of yeast copper genes in response to DNA-damaging agents; undergoes changes in redox state in response to changing levels of copper or MMS [Source:SGD;Acc:S000004623],-1
YNL079C,YNL079C_mRNA,478566,479165,TPM1,1,protein_coding,"Major isoform of tropomyosin; binds to and stabilizes actin cables and filaments, which direct polarized cell growth and the distribution of several organelles; acetylated by the NatB complex and acetylated form binds actin most efficiently; TPM1 has a paralog, TPM2, that arose from the whole genome duplication [Source:SGD;Acc:S000005023]",-1
YBL058W,YBL058W_mRNA,111437,112708,SHP1,1,protein_coding,UBX domain-containing substrate adaptor for Cdc48p; ubiquitin regulatory X domain-containing protein that acts as a substrate recruiting cofactor for Cdc48p; positively regulates Glc7p PPase activity to promote growth and mitotic progression in complex with Cdc48p; ubiquitinated protein interactor involved in ER-associated degradation (ERAD); regulated by nuclear Ub-dependent degradation (INMAD pathway) independent of the Asi and Doa10 complexes; homolog of human p47 (NSFL1C) [Source:SGD;Acc:S000000154],1
YJR127C,YJR127C_mRNA,658917,663059,RSF2,1,protein_coding,"Zinc-finger protein; involved in transcriptional control of both nuclear and mitochondrial genes, many of which specify products required for glycerol-based growth, respiration, and other functions; RSF2 has a paralog, TDA9, that arose from the whole genome duplication; relocalizes from nucleus to cytoplasm upon DNA replication stress [Source:SGD;Acc:S000003888]",-1
YLR088W,YLR088W_mRNA,316107,317951,GAA1,1,protein_coding,Subunit of the GPI:protein transamidase complex; removes the GPI-anchoring signal and attaches GPI (glycosylphosphatidylinositol) to proteins in the ER; human homolog GPAA1 can complement growth defects of yeast thermosensitive mutant at restrictive temperature [Source:SGD;Acc:S000004078],1
YKL128C,YKL128C_mRNA,200884,201771,PMU1,1,protein_coding,Putative phosphomutase; contains a region homologous to the active site of phosphomutases; overexpression suppresses the histidine auxotrophy of an ade3 ade16 ade17 triple mutant and the temperature sensitivity of a tps2 mutant [Source:SGD;Acc:S000001611],-1
YLR100W,YLR100W_mRNA,341810,342853,ERG27,1,protein_coding,3-keto sterol reductase; catalyzes the last of three steps required to remove two C-4 methyl groups from an intermediate in ergosterol biosynthesis; mutants are sterol auxotrophs; mutation is functionally complemented by human HSD17B7 [Source:SGD;Acc:S000004090],1
YBR080C,YBR080C_mRNA,398614,400890,SEC18,1,protein_coding,"AAA ATPase and SNARE disassembly chaperone; required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, autophagy, and protein secretion; releases Sec17p from SNAP complexes; has similarity to mammalian N-ethylmaleimide-sensitive factor (NSF) [Source:SGD;Acc:S000000284]",-1
YNL219C,YNL219C_mRNA,235996,237663,ALG9,1,protein_coding,"Mannosyltransferase, involved in N-linked glycosylation; catalyzes the transfer of both the seventh mannose residue on B-arm and ninth mannose residue on the C-arm from Dol-P-Man to lipid-linked oligosaccharides; human homolog ALG9 can complement yeast null mutant; mutation of human homolog causes type 1 congenital disorders of glycosylation [Source:SGD;Acc:S000005163]",-1
YPR179C,YPR179C_mRNA,893797,895764,HDA3,1,protein_coding,Subunit of the HDA1 histone deacetylase complex; possibly tetrameric trichostatin A-sensitive class II histone deacetylase complex contains Hda1p homodimer and an Hda2p-Hda3p heterodimer; required for the activity of the complex; relocalizes to the cytosol in response to hypoxia; similar to Hda2p [Source:SGD;Acc:S000006383],-1
YOL062C,YOL062C_mRNA,210520,211995,APM4,1,protein_coding,"Cargo-binding mu subunit of AP-2; AP-2 is a heterotetrameric endocytic cargo-binding adaptor that facilitates uptake of membrane proteins during clathrin-mediated endocytosis; Apm4p is required for AP-2 function and localization, and binds cell wall stress receptor Mid2p; AP-2 is required for cell polarity responses to pheromone, nutritional status and cell wall damage in S. cerevisiae, and for hyphal growth in C. albicans; AP-2 complex is conserved in mammals [Source:SGD;Acc:S000005423]",-1
YDR540C,YDR540C_mRNA,1517136,1517675,IRC4,1,protein_coding,Protein of unknown function; null mutant displays increased levels of spontaneous Rad52p foci; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus [Source:SGD;Acc:S000002948],-1
YER087W,YER087W_mRNA,330576,332306,AIM10,1,protein_coding,Protein with similarity to tRNA synthetases; non-tagged protein is detected in purified mitochondria; null mutant is viable and displays elevated frequency of mitochondrial genome loss [Source:SGD;Acc:S000000889],1
YOL140W,YOL140W_mRNA,58759,60030,ARG8,1,protein_coding,Acetylornithine aminotransferase; catalyzes the fourth step in the biosynthesis of the arginine precursor ornithine [Source:SGD;Acc:S000005500],1
YFL009W,YFL009W_mRNA,116145,118484,CDC4,1,protein_coding,"F-box protein required for both the G1/S and G2/M phase transitions; modular substrate specificity factor which associates with core SCF (Cdc53p, Skp1p and Hrt1p/Rbx1p) to form the SCFCdc4 complex; SCFCdc4 acts as a ubiquitin-protein ligase directing ubiquitination of cyclin-dependent kinase (CDK) phosphorylated substrates, such as: Sic1p, Far1p, Cdc6p, Clb6p, and Cln3p [Source:SGD;Acc:S000001885]",1
YLL004W,YLL004W_mRNA,141073,142923,ORC3,1,protein_coding,Subunit of the origin recognition complex (ORC); ORC directs DNA replication by binding to replication origins and is also involved in transcriptional silencing [Source:SGD;Acc:S000003927],1
YKL057C,YKL057C_mRNA,330856,333969,NUP120,1,protein_coding,"Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC); contributes to nucleocytoplasmic transport and NPC biogenesis and is involved in establishment of a normal nucleocytoplasmic concentration gradient of the GTPase Gsp1p; also plays roles in several processes that may require localization of genes or chromosomes at the nuclear periphery, including double-strand break repair, transcription and chromatin silencing; homologous to human NUP160 [Source:SGD;Acc:S000001540]",-1
YPL130W,YPL130W_mRNA,304387,305058,SPO19,1,protein_coding,"Meiosis-specific prospore protein; required to produce bending force necessary for proper assembly of the prospore membrane during sporulation; identified as a weak high-copy suppressor of the spo1-1 ts mutation; SPO19 has a paralog, YOR214C, that arose from the whole genome duplication [Source:SGD;Acc:S000006051]",1
YDL046W,YDL046W_mRNA,371240,371761,NPC2,1,protein_coding,Sterol transport protein and functional homolog of human NPC2/He1; human NPC2 is a cholesterol-binding protein whose deficiency causes Niemann-Pick type C2 disease involving retention of cholesterol in lysosomes; yeast NPC2 can complement mutations in human NPC2 [Source:SGD;Acc:S000002204],1
YPL072W,YPL072W_mRNA,418512,420011,UBP16,1,protein_coding,"Deubiquitinating enzyme anchored to the outer mitochondrial membrane; probably not important for general mitochondrial functioning, but may perform a more specialized function at mitochondria [Source:SGD;Acc:S000005993]",1
tY(GUA)F1,tY(GUA)F1_tRNA,167437,167525,SUP11,1,tRNA,"Tyrosine tRNA (tRNA-Tyr), predicted by tRNAscan-SE analysis; can mutate to suppress ochre nonsense mutations [Source:SGD;Acc:S000006779]",1
YER180C,YER180C_mRNA,549724,550527,ISC10,1,protein_coding,"Protein required for sporulation; transcript is induced 7.5 hours after induction of meiosis, expected to play significant role in the formation of reproductive cells [Source:SGD;Acc:S000000982]",-1
YGL157W,YGL157W_mRNA,209006,210049,ARI1,1,protein_coding,NADPH-dependent aldehyde reductase; utilizes aromatic and alophatic aldehyde substrates; member of the short-chain dehydrogenase/reductase superfamily [Source:SGD;Acc:S000003125],1
YDR252W,YDR252W_mRNA,963412,963861,BTT1,1,protein_coding,"Heterotrimeric nascent polypeptide-associated complex beta3 subunit; complex binds ribosomes via its beta-subunits in close proximity to nascent polypeptides; interacts with Caf130p of the CCR4-NOT complex; similar to human BTF3; BTT1 has a paralog, EGD1, that arose from the whole genome duplication [Source:SGD;Acc:S000002660]",1
YLR037C,YLR037C_mRNA,222685,223059,PAU23,1,protein_coding,"Cell wall mannoprotein; has similarity to Tir1p, Tir2p, Tir3p, and Tir4p; member of the seripauperin multigene family encoded mainly in subtelomeric regions; expressed under anaerobic conditions, completely repressed during aerobic growth [Source:SGD;Acc:S000004027]",-1
YMR307W,YMR307W_mRNA,887003,888682,GAS1,1,protein_coding,"Beta-1,3-glucanosyltransferase; required for cell wall assembly and also has a role in transcriptional silencing; localizes to cell surface via a glycosylphosphatidylinositol (GPI) anchor; also found at nuclear periphery; genetic interactions with histone H3 lysine acetyltransferases GCN5 and SAS3 indicate previously unsuspected functions for Gas1 in DNA damage response and cell cycle regulation [Source:SGD;Acc:S000004924]",1
YIL116W,YIL116W_mRNA,142928,144085,HIS5,1,protein_coding,"Histidinol-phosphate aminotransferase; catalyzes the seventh step in histidine biosynthesis; responsive to general control of amino acid biosynthesis; mutations cause histidine auxotrophy and sensitivity to Cu, Co, and Ni salts [Source:SGD;Acc:S000001378]",1
YAL040C,YAL040C_mRNA,65778,67520,CLN3,1,protein_coding,"G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2, CCNB1, CCNC, CCND1, or CCNE1 [Source:SGD;Acc:S000000038]",-1
YGL232W,YGL232W_mRNA,62075,63002,TAN1,1,protein_coding,Putative tRNA acetyltransferase; RNA-binding protein required for the formation of the modified nucleoside N(4)-acetylcytidine in serine and leucine tRNAs but not required for the same modification in 18S rRNA; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000003201],1
YHR181W,YHR181W_mRNA,467228,467914,SVP26,1,protein_coding,Integral membrane protein of the early Golgi apparatus and ER; involved in COP II vesicle transport; may also function to promote retention of proteins in the early Golgi compartment [Source:SGD;Acc:S000001224],1
YPL259C,YPL259C_mRNA,51244,52671,APM1,1,protein_coding,Mu1-like medium subunit of the AP-1 complex; binds clathrin; involved in clathrin-dependent Golgi protein sorting; the AP-1 complex is the clathrin-associated protein complex [Source:SGD;Acc:S000006180],-1
YJL087C,YJL087C_mRNA,270002,272485,TRL1,1,protein_coding,"tRNA ligase; required for tRNA splicing and for both splicing and translation of HAC1 mRNA in the UPR; has phosphodiesterase, polynucleotide kinase, and ligase activities; localized at the inner nuclear envelope and partially to polysomes [Source:SGD;Acc:S000003623]",-1
YIR005W,YIR005W_mRNA,364889,365335,IST3,1,protein_coding,Component of the U2 snRNP; required for the first catalytic step of splicing and for spliceosomal assembly; interacts with Rds3p and is required for Mer1p-activated splicing; diploid mutants have a specific defect in MATa1 pre-mRNA splicing which leads to haploid gene expression in diploids [Source:SGD;Acc:S000001444],1
YDL080C,YDL080C_mRNA,310642,312471,THI3,1,protein_coding,"Regulatory protein that binds Pdc2p and Thi2p transcription factors; activates thiamine biosynthesis transcription factors Pdc2p and Thi2p by binding to them, but releases and de-activates them upon binding to thiamine pyrophosphate (TPP), the end product of the pathway; has similarity to decarboxylases but enzymatic activity is not detected [Source:SGD;Acc:S000002238]",-1
YJL209W,YJL209W_mRNA,38005,39969,CBP1,1,protein_coding,"Mitochondrial protein, regulator of COB mRNA stability and translation; interacts with the 5'-untranslated region of the COB mRNA; found in a complex at the inner membrane along with Pet309p; localizes to mitochondrial foci upon DNA replication stress [Source:SGD;Acc:S000003745]",1
YLR286C,YLR286C_mRNA,708448,710136,CTS1,1,protein_coding,Endochitinase; required for cell separation after mitosis; transcriptional activation during the G1 phase of the cell cycle is mediated by transcription factor Ace2p [Source:SGD;Acc:S000004276],-1
YEL044W,YEL044W_mRNA,69757,70257,IES6,1,protein_coding,Component of the INO80 chromatin remodeling complex; critical for INO80 function; involved in regulation of chromosome segregation and maintenance of normal centromeric chromatin structure; human ortholog INO80C is a member of the human INO80 complex; implicated in DNA repair based on genetic interactions with RAD52 epistasis genes [Source:SGD;Acc:S000000770],1
YOR371C,YOR371C_mRNA,1031489,1034182,GPB1,1,protein_coding,"Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; promotes ubiquitin-dependent proteolysis of Ira2p; regulated by G-alpha protein Gpa2p; GPB1 has a paralog, GPB2, that arose from the whole genome duplication [Source:SGD;Acc:S000005898]",-1
YLR071C,YLR071C_mRNA,275378,278626,RGR1,1,protein_coding,"Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; required for glucose repression, HO repression, RME1 repression and sporulation [Source:SGD;Acc:S000004061]",-1
YBL050W,YBL050W_mRNA,125125,126119,SEC17,1,protein_coding,"Alpha-SNAP cochaperone; SNARE-complex adaptor for Sec18 (NSF) during the disassembly of postfusion cis-SNARE complexes; stimulates the ATPase activity of Sec18p; peripheral membrane protein required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, and autophagy; similar to mammalian alpha-SNAP [Source:SGD;Acc:S000000146]",1
YOR025W,YOR025W_mRNA,378219,379562,HST3,1,protein_coding,"Member of the Sir2 family of NAD(+)-dependent protein deacetylases; involved along with Hst4p in telomeric silencing, cell cycle progression, radiation resistance, genomic stability and short-chain fatty acid metabolism [Source:SGD;Acc:S000005551]",1
YHL001W,YHL001W_mRNA,104277,105091,RPL14B,1,protein_coding,"Ribosomal 60S subunit protein L14B; homologous to mammalian ribosomal protein L14, no bacterial homolog; RPL14B has a paralog, RPL14A, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000000993]",1
YJR042W,YJR042W_mRNA,514055,516289,NUP85,1,protein_coding,"Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC); contributes to nucleocytoplasmic transport and NPC biogenesis and is involved in establishment of a normal nucleocytoplasmic concentration gradient of the GTPase Gsp1p; also plays roles in several processes that may require localization of genes or chromosomes at the nuclear periphery, including double-strand break repair, transcription and chromatin silencing; homologous to human NUP85 aka NUP75 [Source:SGD;Acc:S000003803]",1
YNL185C,YNL185C_mRNA,292193,292669,MRPL19,1,protein_coding,Mitochondrial ribosomal protein of the large subunit [Source:SGD;Acc:S000005129],-1
YBR129C,YBR129C_mRNA,494353,495339,OPY1,1,protein_coding,"Protein of unknown function; overproduction blocks cell cycle arrest in the presence of mating pheromone; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies [Source:SGD;Acc:S000000333]",-1
YKL145W,YKL145W_mRNA,174213,175616,RPT1,1,protein_coding,ATPase of the 19S regulatory particle of the 26S proteasome; one of six ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; required for optimal CDC20 transcription; interacts with Rpn12p and Ubr1p; mutant has aneuploidy tolerance [Source:SGD;Acc:S000001628],1
YIL015W,YIL015W_mRNA,322342,324105,BAR1,1,protein_coding,Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest [Source:SGD;Acc:S000001277],1
YPL018W,YPL018W_mRNA,517651,518760,CTF19,1,protein_coding,"Outer kinetochore protein, needed for accurate chromosome segregation; component of kinetochore sub-complex COMA (Ctf19p, Okp1p, Mcm21p, Ame1p) that functions as platform for kinetochore assembly; required for spindle assembly checkpoint; minimizes potentially deleterious centromere-proximal crossovers by preventing meiotic DNA break formation proximal to centromere; homolog of human centromere constitutive-associated network (CCAN) subunit CENP-P and fission yeast fta2 [Source:SGD;Acc:S000005939]",1
YLR160C,YLR160C_mRNA,486201,487289,ASP3-4,1,protein_coding,"Cell-wall L-asparaginase II involved in asparagine catabolism; expression induced during nitrogen starvation; ORF contains a short non-coding RNA that enhances expression of full-length gene; likely arose in via horizontal gene transfer from the wine yeast Wickerhamomyces anomalus or a close relative; reference strain S288C has four copies of ASP3; ASP3-4 has a paralog, ASP3-2, that arose from a segmental duplication [Source:SGD;Acc:S000004150]",-1
YIL047C,YIL047C_mRNA,265115,267823,SYG1,1,protein_coding,Plasma membrane protein of unknown function; truncation and overexpression suppresses lethality of G-alpha protein deficiency [Source:SGD;Acc:S000001309],-1
YOR061W,YOR061W_mRNA,441534,442553,CKA2,1,protein_coding,"Alpha' catalytic subunit of casein kinase 2 (CK2); CK2 is a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2, comprised of CKA1, CKA2, CKB1 and CKB2, has many substrates including transcription factors and all RNA polymerases; protein abundance increases in response to DNA replication stress; regulates Fkh1p-mediated donor preference during mating-type switching [Source:SGD;Acc:S000005587]",1
